Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
139,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,139,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
140,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,140,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
141,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,141,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
142,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,142,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
143,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,143,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
144,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,144,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
145,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,145,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
146,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,146,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
147,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,147,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
148,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,148,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
149,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,149,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
150,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,150,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
151,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,151,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
152,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,152,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
153,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,153,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
154,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,154,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
155,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,155,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
156,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,156,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
157,"__omp_offloading_2d_18a8108__Z2mmlllid_l28.kd",0,0,157,218774,218774,262144,256,512,0,28,48,0,0x7fba191de800,0x7fb80b600cc0
